pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J183447.92,G23.355-0.267,18 34 47.93,-8 38 16.9,20160717,0.036843315,61.97647781,0.166448656,6.204205322,0.391960567,-0.16325163,-1.078141835,0.058990774,,,4.88,0.66,
J183447.92,G23.355-0.267,18 34 47.93,-8 38 16.9,20160717,0.036843315,80.57684096,0.122725305,5.528457887,0.288998908,-0.209031244,-1.230119837,0.055688731,,,4.81,0.5,
J183447.92,G23.355-0.267,18 34 47.93,-8 38 16.9,20160717,0.036843315,96.50129837,0.10371307,3.835258195,0.239683875,-0.282570884,-1.153597291,0.069206536,,,5.19,0.61,
J183447.92,G23.355-0.267,18 34 47.93,-8 38 16.9,20160717,0.036843315,102.4422091,0.085214416,4.989478694,0.213714519,-0.389937083,-2.071008692,0.075369434,,,5.45,0.85,
J183421.85,G23.386-0.130,18 34 21.85,-8 32 49.0,20160821,0.055198159,52.40751749,0.043718695,2.545578941,0.102950686,-0.592251716,-1.60481549,0.056207358,,H,3.47,0.34,
J183421.85,G23.386-0.130,18 34 21.85,-8 32 49.0,20160821,0.055198159,97.65569094,0.052140302,4.322945688,0.122782252,-0.647147573,-2.977935698,0.073247556,,H,5.26,0.63,
J183218.81,G23.402+0.450,18 32 18.81,-8 15 57.5,20160821,0.041819431,107.8486367,0.079498864,3.776475947,0.187207379,-0.334147233,-1.343249854,0.057664182,,H,6.05,1.29,
J183420.55,G23.416-0.108,18 34 20.55,-8 30 38.5,20160821,0.049525052,52.61014448,0.056645348,3.118224551,0.133390931,-0.471390313,-1.564660973,0.057965552,,H,3.47,0.34,
J183420.55,G23.416-0.108,18 34 20.55,-8 30 38.5,20160821,0.049525052,98.12021762,0.181982372,5.259476716,0.428540013,-0.190591862,-1.067036068,0.075287546,,H,5.28,0.64,
J183448.37,G23.429-0.231,18 34 48.38,-8 33 22.0,20160821,0.04894625,80.13289569,0.068631809,4.345247178,0.161617172,-0.908057103,-4.200102183,0.1352883,,H,4.84,0.51,4.571910188
J183448.37,G23.429-0.231,18 34 48.38,-8 33 22.0,20160821,0.04894625,96.31087164,0.056465305,1.879250781,0.153196217,-0.776235911,-1.552782687,0.15321699,Y,H,5.22,0.63,
